"商品コード","商品名","仕入先コード","仕入先名","在庫数","引当数","フリー在庫数","不良在庫数","欠品数","発注残数","商品区分","商品タグ","取扱区分","適正在庫数","発注点","ロット","原価","売価","在庫金額","表示価格","ＪＡＮコード"
"koro-fuku-ryul-ryum","【ころんと福袋2】親子お揃いリュックセット","9","ハピネス","99999","0","99999","0","0","0","通常","[要※カラー指定][99999月末在庫調整]","取扱中止","0","0","0","0.00","13980.00","0.00","",""
"koro-h-be","ころんとポーチ細紐-ベージュ","11","Astyle","60","0","60","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","160380.00","","4580604900327"
"koro-h-bk","ころんとポーチ細紐-黒","9","ハピネス","158","0","158","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","422334.00","","4580604900334"
"koro-h-bl","ころんとポーチ細紐-ブルー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","2673.00","6840.00","0.00","","4580604900341"
"koro-h-br","ころんとポーチ細紐-ブラウン","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","2673.00","6840.00","0.00","","4580605361387"
"koro-h-ca","ころんとポーチ細紐-キャメル","9","ハピネス","70","0","70","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","187110.00","","4580604900358"
"koro-h-gy","ころんとポーチ細紐-グレー","9","ハピネス","78","0","78","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","208494.00","","4580604900365"
"koro-h-lb","ころんとポーチ細紐-マカロンブルー","11","Astyle","34","0","34","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","90882.00","","4580604903311"
"koro-h-le","ころんとポーチ_細紐_レオパード","11","Astyle","29","0","29","0","0","0","通常","","取扱中","2","0","0","2689.00","6840.00","77981.00","","4580605362018"
"koro-h-re","ころんとポーチ細紐-レッド","11","Astyle","17","0","17","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","45441.00","","4580604900372"
"koro-h-wt","ころんとポーチ細紐-白","11","Astyle","108","0","108","0","0","0","通常","","取扱中","2","0","0","2673.00","6840.00","288684.00","","4580604900389"
"koro-rl-bk","上質本革ころんとポーチ【肩紐1.7cmタイプ-黒】","11","Astyle","22","0","22","0","0","0","通常","","取扱中","2","0","0","7507.00","18250.00","165154.00","","4580604900396"
"koro-rl-br","上質本革ころんとポーチ【肩紐1.7cmタイプ焦茶】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","7507.00","18250.00","0.00","","4580604900402"
"koro-rl-f-bk","【品番違い使用しない】（正）koro-f-rl-bk_上質本革ころんとポーチ【肩紐3cmタイプ-黒】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7507.00","18250.00","0.00","","4580605361042"
"koro-rl-gb","上質本革ころんとポーチ【肩紐1.7cmタイプ-グレーベージュ】","11","Astyle","13","0","13","0","0","0","通常","","取扱中","2","0","50","7507.00","18250.00","97591.00","","4580605360175"
"koro-ryul-be","リュックＬ-ベージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3223.00","9850.00","0.00","","4580604900419"
"koro-ryul-bk","リュックＬ-黒","9","ハピネス","33","0","33","0","0","0","通常","","取扱中","2","0","0","3685.00","9850.00","121605.00","","4580604900426"
"koro-ryul-gb","リュックＬ-グレーベージュ","9","ハピネス","57","0","57","0","0","0","通常","","取扱中","2","0","0","3685.00","9850.00","210045.00","","4580605360182"
"koro-ryul-gy","リュックＬ-グレー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3960.00","9850.00","0.00","","4580604900440"
"koro-ryul-mo","ころんとリュック_L_モカベージュ","11","Astyle","0","0","0","0","0","0","通常","","取扱中","0","0","0","3685.00","9850.00","0.00","","4580605361578"
"koro-ryul-n-bk","ころんとリュックLナイロン","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3685.00","9850.00","0.00","","4580604903625"
"koro-ryul-ny","リュックＬ-ネイビー","9","ハピネス","8","0","8","0","0","0","通常","","取扱中","2","0","0","3905.00","9850.00","31240.00","","4580604900457"
"koro-ryul-pb","リュックＬ-ピーチベージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3190.00","9850.00","0.00","","4580604900464"
"koro-ryul-wt","リュックＬ-白","9","ハピネス","27","0","27","0","0","0","通常","","取扱中","2","0","0","3685.00","9850.00","99495.00","","4580604900471"
"koro-ryul-ybk","ころんとリュック_L_ナイロン_ブラック","11","Astyle","67","0","67","0","0","0","通常","","取扱中","1","0","0","3685.00","9850.00","246895.00","","4580605361516"
"koro-ryul-ybl","ころんとリュック_L_ナイロン_ブルー","11","Astyle","28","0","28","0","0","0","通常","","取扱中","1","0","0","3685.00","9850.00","103180.00","","4580605361530"
"koro-ryul-yka","ころんとリュック_L_ナイロン_カーキ","11","Astyle","36","0","36","0","0","0","通常","","取扱中","2","0","0","3685.00","9850.00","132660.00","","4580605361523"
"koro-ryum-be","リュックＭ-ベージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3223.00","8250.00","0.00","","4580604900488"
"koro-ryum-bk","リュックＭ-黒","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3223.00","8250.00","0.00","","4580604900495"
"koro-ryum-gb","リュックＭ-グレージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3223.00","8250.00","0.00","","4580604900501"
"koro-ryum-gy","リュックＭ-グレー","9","ハピネス","9","0","9","0","0","0","通常","","取扱中","1","0","0","3850.00","8250.00","34650.00","","4580605360199"
"koro-ryum-ny","リュックM-ネイビー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3223.00","9800.00","0.00","",""
"koro-ryum-wt","リュックＭ-白","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3223.00","8250.00","0.00","","4580604900525"
"koro-se24-bo","廃番【ころんと福袋5】ボストンバッグ＆ころんとポーチセット","9","ハピネス","0","0","0","0","0","0","通常","[要※カラー指定]","取扱中止","0","0","0","0.00","11000.00","0.00","",""
"koro-td-be","ころんとポーチ特大-ベージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3520.00","8250.00","0.00","","4580604900532"
"koro-td-bk","ころんとポーチ特大-黒","9","ハピネス","43","4","39","0","0","0","通常","","取扱中","1","0","0","3223.00","8250.00","138589.00","","4580604900549"
"koro-td-bo","ころんとポーチ特大-ストライプ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3905.00","8250.00","0.00","","4580604900556"
"koro-td-br","ころんとポーチ_特大-ブラウン","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3245.00","18250.00","0.00","","4580604900563"
"koro-td-ca","（品番変更）コロントポーチ特大-キャメル","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3520.00","18250.00","0.00","","4580604900570"
"koro-td-de","ころんとポーチ特大-デニム","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3520.00","5940.00","0.00","","4580604900587"
"koro-td-fr-be","持ち手フリルバッグL_ベージュ","11","Astyle","90","0","90","0","0","0","通常","","取扱中","2","0","0","3052.00","7900.00","274680.00","","4580605362049"
"koro-td-fr-bk","持ち手フリルバッグL_ブラック","11","Astyle","68","0","68","0","0","0","通常","","取扱中","2","0","0","3052.00","7900.00","207536.00","","4580605362032"
"koro-td-gy","ころんとポーチ特大_グレー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3520.00","8250.00","0.00","","4580604900594"
"koro-td-ka","ころんとポーチ特大-カーキ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","3520.00","5940.00","0.00","","4580604900600"
"koro-tdh-bk","ころんとポーチ特大【帆布ブラック】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3520.00","5940.00","0.00","","4580604900617"
"koro-tdh-bl","帆布ころんとポーチ特大-ブルー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3520.00","5940.00","0.00","","4580604900624"
"koro-tdh-ny","帆布ころんとポーチ特大-ネイビー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3520.00","5940.00","0.00","","4580604900631"
"koro-tdh-re","帆布ころんとポーチ特大-レッド","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3520.00","5940.00","0.00","","4580604900648"
"ks001m-ca","キャミソールと白のカット-キャメル","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3850.00","8250.00","0.00","","4580604900655"
"ks001m-lg","キャミソールと白のカット-ライトグレー","1","MIRATIME","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3850.00","8250.00","0.00","","4580604900662"
"mg-ab01-am","2点セット天然抗菌加工アンサンブルニットボレロノースリーブ【アーモンド】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4345.00","8980.00","0.00","","4580604904400"
"mg-ab01-be","2点セット天然抗菌加工アンサンブルニットボレロノースリーブ【ベージュ】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4345.00","8980.00","0.00","","4580604904424"
"mg-ab01-bk","エスニック柄丸底巾着ショルダーバッグブラック","5","ZONGYI","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1650.00","3900.00","0.00","","4580604900679"
"mg-ab01-bl","エスニック柄丸底巾着ショルダーバッグブルー","5","ZONGYI","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1650.00","3900.00","0.00","","4580604900686"
"mg-ab01-gr","2点セット天然抗菌加工アンサンブルニットボレロノースリーブ【ライムグリーン】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4345.00","8980.00","0.00","","4580604904417"
"mg-ab01-wt","エスニック柄丸底巾着ショルダーバッグホワイト","5","ZONGYI","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1650.00","3900.00","0.00","","4580604900693"
"mg-an01-be","傘　ベージュストライプ","9999","設定なし","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2112.00","4450.00","0.00","","4580605360236"
"mg-an01-bl","傘　ブルーストライプ","9999","設定なし","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2112.00","4450.00","0.00","","4580605360243"
"mg-an01-wt","傘　幾何学模様","9999","設定なし","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2112.00","4450.00","0.00","","4580605360250"
"mg-ba01-gy","もこもこボアバッグ【グレー】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1430.00","3900.00","0.00","","4580604904943"
"mg-ba01-wt","もこもこボアバッグ【ホワイト】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1430.00","3900.00","0.00","","4580604904936"
"mg-be01-be","コットン100%ニットベスト【モカ茶】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2563.00","5980.00","0.00","","4580604904752"
"mg-be01-bk","コットン100%ニットベスト【ブラック】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2563.00","5980.00","0.00","","4580604904769"
"mg-bi01-bk","ニットビスチェ_ブラック","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2035.00","3980.00","0.00","","4580604905322"
"mg-bi01-br","ニットビスチェ_ブラウン","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","2035.00","3980.00","0.00","","4580604905339"
"mg-bj01-be","ジップボアジャケット_ベージュ","11","Astyle","16","0","16","0","0","0","通常","","取扱中","2","0","0","4273.00","13840.00","68368.00","","4580605361103"
"mg-bj01-bk","ジップボアジャケット_ブラック","11","Astyle","79","2","77","0","0","0","通常","","取扱中","2","0","0","4273.00","13840.00","337567.00","","4580605361097"
"mg-bj01-ha","ボアジャケット_グレー花柄","11","Astyle","140","0","140","0","0","0","通常","","取扱中","2","0","0","4642.00","13840.00","649880.00","","4580605361981"
"mg-bk01-00","使い勝手のよいいつものバッグ 書籍","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","1100.00","1350.00","0.00","","9784529058575"
"mg-bo01-bk","ツイルボストンバッグ【ブラック】","11","Astyle","10","1","9","0","0","0","通常","","取扱中","1","0","0","4015.00","7980.00","40150.00","","4580605360946"
"mg-bo01-gy","ツイルボストンバッグ【グレーパープル】","9","ハピネス","10","1","9","0","0","0","通常","","取扱中","2","0","0","4070.00","7980.00","40700.00","","4580604904585"
"mg-bo01-ka","ツイルボストンバッグ【ライトカーキ】","9","ハピネス","69","0","69","0","0","0","通常","","取扱中","1","0","0","4015.00","7980.00","277035.00","","4580604903854"
